,exp,celltype,celltype_n,modality,file,atlas_name,sum_stat,baseline_pct,umap_pct,scale,clip,clip_soft,task
72,BasalGanglia-CN-MEIS2-GABA_ATAC,BasalGanglia-CN-MEIS2-GABA,1331,ATAC,./Data/source/ATAC_bw/CN_MEIS2_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
73,BasalGanglia-CN-MEIS2-GABA_K27Ac,BasalGanglia-CN-MEIS2-GABA,1331,K27Ac,./Data/source/bamCoverage_bw/CN_MEIS2_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
74,BasalGanglia-CN-MEIS2-GABA_K27Me3,BasalGanglia-CN-MEIS2-GABA,1331,K27Me3,./Data/source/bamCoverage_bw/CN_MEIS2_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
75,BasalGanglia-CN-MEIS2-GABA_K9Me3,BasalGanglia-CN-MEIS2-GABA,1331,K9Me3,./Data/source/bamCoverage_bw/CN_MEIS2_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
76,BasalGanglia-CN-MEIS2-GABA_RNAminus,BasalGanglia-CN-MEIS2-GABA,1331,RNAminus,./Data/source/ENCODE_RNA_bw/CN_MEIS2_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
77,BasalGanglia-CN-MEIS2-GABA_RNAplus,BasalGanglia-CN-MEIS2-GABA,1331,RNAplus,./Data/source/ENCODE_RNA_bw/CN_MEIS2_GABA.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
78,BasalGanglia-F-Glut_ATAC,BasalGanglia-F-Glut,1217,ATAC,./Data/source/ATAC_bw/F_Glut.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
79,BasalGanglia-F-Glut_K27Ac,BasalGanglia-F-Glut,1217,K27Ac,./Data/source/bamCoverage_bw/F_Glut.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
80,BasalGanglia-F-Glut_K27Me3,BasalGanglia-F-Glut,1217,K27Me3,./Data/source/bamCoverage_bw/F_Glut.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
81,BasalGanglia-F-Glut_K9Me3,BasalGanglia-F-Glut,1217,K9Me3,./Data/source/bamCoverage_bw/F_Glut.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
82,BasalGanglia-F-Glut_RNAminus,BasalGanglia-F-Glut,1217,RNAminus,./Data/source/ENCODE_RNA_bw/F_Glut.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
83,BasalGanglia-F-Glut_RNAplus,BasalGanglia-F-Glut,1217,RNAplus,./Data/source/ENCODE_RNA_bw/F_Glut.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
84,BasalGanglia-M-Dopa_ATAC,BasalGanglia-M-Dopa,921,ATAC,./Data/source/ATAC_bw/M_Dopa.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
85,BasalGanglia-M-Dopa_K27Ac,BasalGanglia-M-Dopa,921,K27Ac,./Data/source/bamCoverage_bw/M_Dopa.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
86,BasalGanglia-M-Dopa_K27Me3,BasalGanglia-M-Dopa,921,K27Me3,./Data/source/bamCoverage_bw/M_Dopa.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
87,BasalGanglia-M-Dopa_K9Me3,BasalGanglia-M-Dopa,921,K9Me3,./Data/source/bamCoverage_bw/M_Dopa.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
88,BasalGanglia-M-Dopa_RNAminus,BasalGanglia-M-Dopa,921,RNAminus,./Data/source/ENCODE_RNA_bw/M_Dopa.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
89,BasalGanglia-M-Dopa_RNAplus,BasalGanglia-M-Dopa,921,RNAplus,./Data/source/ENCODE_RNA_bw/M_Dopa.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
90,BasalGanglia-Endo_ATAC,BasalGanglia-Endo,914,ATAC,./Data/source/ATAC_bw/Endo.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
